ID,SKU,Seal Type,Material,Temp,Pressure,Description,ID,OD,L,HT,CS
29106,HMU15-1.00-18V,Homogenous U-Seal,Buna-n Rubber Fluorocarbon,Buna-n:-40 to +250 F / FC: -20 to+400 F,"Buna-n:0-1,000 PSI / FC: 0-2,000 PSI","The Hmu style multi lip rod u-seal combines the pressure- compensating, uni-directional characteristics of a u-seal with the multi-lip sealing effectiveness of compression-type stacked-packings. Made from premium materials, the HMU utilizes several sealing lip edges for dry rod performance while minimizing friction. The multi-lip design maintains a critical sealing edge even though increasing pressure moves the line of contact down toward the heel.",1,1.3125,0,0.1875,0.1562
29115,HMU12-0.62-17U,Polyurethane U-Seal,Urethane,-40 to +200 F,"0-5,000 PSI","The Hmu style multi lip rod u-seal combines the pressure- compensating, uni-directional characteristics of a u-seal with the multi-lip sealing effectiveness of compression-type stacked-packings. Made from premium materials, the HMU utilizes several sealing lip edges for dry rod performance while minimizing friction. The multi-lip design maintains a critical sealing edge even though increasing pressure moves the line of contact down toward the heel.",0.625,0.875,0,0.17,0.125
29137,RTU12-0.75-25,Asymmetric Twin Lip Rod U-Seal,94A Urethane,-40 to +225 F,"0 to 5,000 PSI","The twin lip design helps solve difficult rod problems by providing lower friction, increased stability, and high dynamic lip force, while preventing air penetration from outside the cylinder.",0.75,1,0,0.25,0.125
29197,RTUB18-1.50-31,Super- Duty Rod U-Seals,94A Urethane Seal Rubber Energizer Poly acetyl Anti- Extrusion Ring,-500 to +230 F,"0-6,000 PSI","high pressure and high shock load capability, utilizes the same twin lip design found RTU style. With the main body of seal molded from high performance polyurethane, this seal incorporates a dynamically Nitrile energizer and a tough poly acetyl anti-extrusion ring",1.5,1.875,0,0.3125,0.1875
29234,RTUL21-1.25-39BHT,O-Ring Loaded Rod U-Seals,95A Urethane,-40 to + 225 F,"0-5,000 PSI","Molded from high performance polyurethane, style RTUL rod U-seals feature an expander for good low pressure sealing. The twin lip features reduces friction and promotes stability.",1.25,1.6875,0,0.39,0.2187
29247,RU18-2.66-30,Urethane Rod U-Seal,90A Urethane,-40 to +200 F,"0-5,000 PSI",Style Ru seals are molded from high quality urethane and designed specifically for rod application.,2.66,3.03,0,0.3,0.1875
29262,UFN12-1.12-18EI,Rod Seals W/ Back-Up Rings,"Rubber, Fabric, Acetyl",-22 to +212,"0 to 5,800 PSI","Incorporating a rubber seal lip, a rubberized fabric heel, and an acetyl back-up ring, this seal provides excellent seal ability and high extrusion resistance.",1,1.375,0,0.1875,0.125
29305,UKR12-0.37,Rod U-Seals,90A urethane,-40 to +200 F,0-150 PSI,"UKP u-seal are designed to act as a positive sealing, low friction replacement for conventional rubber u-seals. Molded from polyurethane, UKP u-seals provide long life and high resistance against extrusion. Low friction allows these seals to run smoothly in a lubricated/ non-lubricated cylinder. available for bore sealing, the flexible dynamic lip provides very low breakaway friction and steady motion.",0.375,0.625,0,0.125,0.125
29321,DPU12-1.00-25,Heavy Duty Piston U-Seals,92A Urethane,-65 to +230 F,"0-6,000 PSI","Specifically designed as piston seals, these u-seals are engineered to seal on their outside diameter. They offer extended service life and maximum reliability in piston sealing.",1,1.25,0,0.25,0.125
29458,UFN25-2.00-31PWO,Piston Ring,"Rubber, Fabric, Acetyl",-22 to +212,"0 to 5,800 PSI","Constructed of a rubber seal lip with a rubberized fabric heel, these seals feature a poly acetyl bearing ring or a poly acetyl anti-extrusion ring. These seals offer excellent sealing ability and high pressure capability. Commonly uses with the SR retention ring.",2,2.5,0,0.3125,0.25
29479,UKP09-0.68,Piston U-Seals,90A Urethane,-40 to +200 F,0-150 PSI,"UKP u-seal are designed to act as a positive sealing, low friction replacement for conventional rubber u-seals. Molded from polyurethane, UKP u-seals provide long life and high resistance against extrusion. Low friction allows these seals to run smoothly in a lubricated/ non-lubricated cylinder. available for bore sealing, the flexible dynamic lip provides very low breakaway friction and steady motion.",0.6875,0.5,0,0.0937,0.0937
29506,PRC125-01.250,PRC Rings,95A Urethane,-40 to +200 F,"0-5,000 PSI","Used as a companion to our ""B"" lip configured style 850 u-seal, style 855 PRC rings convert a uni-directional u-seal into a bi-directional seal.",1.25,1.5,0,0.065,0
29549,870-01,Homogeneous U-Seal,70A Buna-n-Rubber,-40 to +240 F,0-500 PSI,Style 870 U-Seal are precision molded from Buna-N synthetic rubber. Style 870 U seal number conform in size to Army-Navy specification AN6226.,0.125,0.5,0,0.1875,0
29622,DSU12-0.18-25,Heavy Duty Symmetrical U-Seal,92A Urethane,-40 to +230 F,"0-4,000 PSI","Used interchangeably for piston or rod sealing, these u-seals employ the same tough urethane material found in our Heavy Duty Rod and Piston U-Seals",0.1875,0.4375,0,0.25,0.125
29917,HRU09-0.18-09,Homogenous U-Seal,Buna-n Rubber Fluorocarbon,Buna-n:-40 to +250 F / FC: -20 to+400 F,"Buna-n:0-1,250 PSI / FC: 0-2,000 PSI","Style HRU U-Seals are precision molded from 80 Durometer Buna-N Rubber. Sizes include those found in Army-Navy spec. AN6226 and narrow cross-section sizes in J.I.C. cylinder and the popularly termed""Huva Cup"".",0.1875,0.375,0,0.0937,0.0937
30015,HSU15-1.18-15-90DV,Homogenous U-Seal,Buna-n Rubber Fluorocarbon,Buna-n:-40 to +250 F / FC: -20 to+400 F,"0-2,000 PSI","Style HSU U-Seal are precision molded from 90 Durometer Buna-N Rubber or 90A Fluorocarbon(suffix ""V"")--90 Duro Rubber for abrasion resistance and Fluorocarbon for heat resistance. These seals are commonly found in industrial cylinders as piston, rod and cushion seals.",1.1875,1.5,0,0.1562,0.1562
30037,HU12-0.62-18,Symmetrical Urethane U-Seal,Urethane,-50 to +200 F,"0-5,000 PSI",Style HU seals feature a reverse bevel lip design and are molded from high quality urethane. The balance symmetrical design makes the ideal for rod or piston application.,0.625,0.875,0,0.25,0.125
30181,P125-00.125-250B,Polyurethane U-Seal,Urethane Seal Rubber Expander,-40 to +200 F,"0-5,000 PSI","Style 850 u-seals offer excellent resistance to extrusion and abrasion. The round cross-section expander offers energized sealing from zero to 5,000 PSI.",0.125,0.375,0,0.25,0.125
30536,U100-12.00-150D,Polyurethane U-Seal,Urethane,-65 to +220 F,"0-5,000 PSI","Style 800 U-Seals are molded from tough, abrasion-resistant polyurethane. The 4 lobed expander ring energizes the sealing lips, even at zero pressure, to help prevent ""weeping"" when the system is idle.",12,14,0,1.5,1
31438,U12-0.87-25Z,Z-Seals,Urethane Base Rubber Lip,-40 to +200 F,"0-5,000 PSI","The Z-seals is a squeeze type seal , combining the excellent seal ability and low compression set of a resilient rubber lip with the greater anti-extrusion characteristics of a hard thermoplastic base. Under low pressure conditions, the sealing lip provides its own compressive seal force. As pressure increases, hydrostatic pressure is mechanically transmitted through the elastomeric seal into anti-extrusion base. The applies force then deflects radically in a controlled manner, closing the extrusion gap behind the sealing lip. Under the condition, max sealing effectiveness is achieved.",0.875,1.125,0,0.25,0.125
31506,UFN12-0.62-18P,Symmetrical Plain Seals,Rubber and Fabric,-22 to +212,"0 to 2,900 PSI","Incorporating a rubber seal lip and a rubberized fabric heel, this seal provides excellent seal ability and high strength.",0.625,0.875,0,0.1875,0.125
31590,UPU12-0.37,Premium U-Seal,Urethane,-65 to +300 F,"0-5,000 PSI",Style UPU Premium U-Seal are molded from ultra tough urethane for severe service conditions. They feature higher tensile strength and modulus for extrusion resistance. These seals are used in high energy services such as rock drills and shock absorbing devices high internal heat is generated.,0.375,0.625,0,0.125,0.125
31692,CTC-8C3841,Caterpillar Seal,Bronze Filled PTFE Seal Rubber Energizer,-40 to+220 F,"0-5,000 PSI",Caterpillar part numbers are used as reference only.,0,2.75,0,0,0
31747,KR-10001,Rod Buffer Seals,Bronze Filled PTFE Seal / Rubber Energizer,-40 to +220 F,"0-5,000 PSI","Molded in PTFE with a rubber energizer, this seal absorbs the shock of pressure spikes to protect the rod seal.",1,1.298,0,0.122,0
31793,RBS-1.50X2.00SL,Rod Buffer Seals,92A Urethane,-40 to +200 F,"0-5,000 PSI","The RBS style rod buffer seals are a rectangle urethane buffer ring designed to absorb pressure fluctuations to protect the primary rod seal. Some sizes include a radial and axial slot, which faces the pressure, to relieve back pressure between the primary and buffer seal. This simple design is commonly found on older construction equipment.",1.5,2,0,0.118,0
31805,CAS-1470,Cascade Vee Sets,Fabric reinforced Rubber & Urethane Rings/Nylon Adaptors,-35 to +220 F,"0-10,000 PSI","Employed mainly in cylinders made by cascade Corp., these vee sets are often over-sized or are different from standard vee sets, they are often used with follower bearings",3.25,4.02,0,1,0
31838,HDLG-250,Guide lock Piston Bearings,Glass Filled Nylon,-65 to+220 F,"0-8,000 PSI","Molded from glass filled nylon, these step-cut bearings also act as retainers for hydro lock vee sets.",0,2.5,0,0,0
31854,HDLV-1740-400,Hydro lock Vee Packing Sets,Hytrel & Nylon,-40 to +220 F,"0-6,000 PSI","These Vee sets utilize Hytrel & nylon vees to cover pressure from zero to 6,000 psi and provide excellent extrusion resistance. Male & female bearings are molded from glass filled nylon.",3.5,3.5,0,0.75,0
31921,VS03704X050,Vee Packing Set,Fabric Reinforced Rubber Urethane Ring/ Nylon Adaptors,-35 to +220 F,"0-10,000 PSI","The Vee set are the finest quality available in the industry. While all sets incorporate fabric reinforced rubber pressure rings, one or two urethane rings are included to improve low pressure sealing, when it is feasible. Most sets use nylon adaptors.",0.375,0.875,0,0.5,0
32271,835-07,Homogeneous Rubber Vee Ring,70A Duro Buna-N,-40 to +220 F,0-1250 PSI,"Homogeneous rubber vee ring 70A Duro Buna-N, excellent for air cylinder applications. These vee rings are also used in combination harder vee materials, this stops oil weeping when pressure is building up.",0.5,0.875,0,0.083,0
32305,935-128,Neo Fab Piston Cup,Cotton Fabric and Rubber,-35 to +220 F,"0-2,500 PSI",Piston ups are constructed of rubberized fabric. Cups with no hole are center punched.,0.375,3.375,0,0.625,0.1562
32329,VR06204T,Individual Vee Rings & Adaptors,"Nylon, Neo-Fab, Urethane",-35 to +220 F,"0-5,000 PSI",The individual vee rings and adaptors listed here are the same high quality products found in our assembled vee packing sets. Stocking individual vee rings allow you to assemble sets to your specific requirements.,0.625,1.125,0,0,0
32423,850-1.12X1.75,W Packing center Ring,Neo Fab,-40 to +250 F,"250-8,000 PSI",W Packing is stacked in a pedestal fashion. Stacked rings do not require axial force to obtain proper lip interference.,1.125,1.75,0,0,0
32442,851-0.75X1.25,W Packing center Ring,Buna-N,-40 to +250 F,"250-8,000 PSI",W Packing is stacked in a pedestal fashion. Stacked rings do not require axial force to obtain proper lip interference.,0.75,1.25,0,0,0
32475,852-0.75X1.25,W Packing Flat Back,Neo Fab,-40 to +250 F,"250-8,000 PSI",W Packing is stacked in a pedestal fashion. Stacked rings do not require axial force to obtain proper lip interference.,0.75,1.25,0,0,0
32500,853-0.87X1.37,W Packing Flat Back,Buna-N,-40 to +250 F,"250-8,000 PSI",W Packing is stacked in a pedestal fashion. Stacked rings do not require axial force to obtain proper lip interference.,0.875,1.375,0,0,0
32510,855-1.25X1.87,W Packing Deep Base,Neo Fab,-40 to +250 F,"250-8,000 PSI",W Packing is stacked in a pedestal fashion. Stacked rings do not require axial force to obtain proper lip interference.,1.25,1.875,0,0,0
32569,8100-000,Piston Cups,Urethane,-65 to +220 F,"0-1,200 PSI",The 8000 piston cups are center punched.,0,1,0,0.5,0.125
32584,9075-000F,Neo Fab Piston Cup,Cotton Fabric and Rubber,-35 to +220 F,"0-2,500 PSI",Piston ups are constructed of rubberized fabric. Cups with no hole are center punched.,0,0.75,0,0.4375,0.0937
32711,DAPC-175,One Piece Double Acting Piston Cups,"Rubber Lip , Zinc Coated Steel Plate",-40 to +220 F,0-800 PSI,"This complete piston cup w/ a simple, 1-piece construction serve the same purpose as a multi- assembly unit and is more economical w/ easy maintained, dependability and long life. The unique piston cup consists of homogeneous rubber bonded to a zinc-coated steel plate. The center hole may be enlarged to accommodate larger piston rods. Recommended for pneumatic and low-pressure application.",0,1,0,0.5,0
32739,CPS-2000,Capped Piston T-seals,PTFE Cap Nylon Back-up Rubber Energizer,-40 to +220 F,"0-6,000 PSI","A heavy duty double-acting assembly, the capped piston T-Seal exhibits excellent seal ability, extrusion resistance, and wear ability. T-Seals with ""BR"" suffix utilize Bronze Filled PTFE cap instead of standard Glass Filled PTFE cap.",1.625,2,0,0.424,0
32766,TP-011,Piston T-Seals,Buna-N Rubber Seal Hard Plastic Back-Up,-35 to +220 F,"0-5,000 PSI","T- Seal combine a resilient sealing ring with a hard, split back-up ring on each side of the sealing element. The assembly installs in a standard o-ring groove. T-Seals are one-spiraling resistant to 5,000 PSI with improved tolerance.",0,1,0,0,0
32823,TP-011-L,Locking Piston T-Seals,Buna-N Rubber Seal Hard Plastic Back-Up,-35 to +220 F,"0-5,000 PSI",The style TP-L seal is a zero drift piston seal for bi-directional pressure applications. The locking anti-extrusion rings provide for an easier installation. It is designed to retrofit O-Ring and standard T-Seal grooves. The 70 Shores A NBR is designed specifically for performance in compression type dynamic seals. Other features include a net molded dynamic sealing.,0,1,0,0,0
32856,TR-004,Rod T-Seals,Buna-N Rubber Seal Hard Plastic Back-Up,-35 to +220 F,"0-5,000 PSI","T- Seal combine a resilient sealing ring with a hard, split back-up ring on each side of the sealing element. The assembly installs in a standard o-ring groove. T-Seals are one-spiraling resistant to 5,000 PSI with improved tolerance.",0,0.375,0,0,0
32901,PA-2.50X1.00X1.00,Unitized Piston,Steel Piston Glass Filled PTFE Seal Rubber Expander,-40 to +220 F,"0-5,000 PSI","The PA Unitized Piston are designed to handle a broad range of application parameters. The Piston body is machined to exact dimensions and is constructed using four components: a high strength steel body, a non-metallic bearing, a rubber loading ring and a filled PTFE seal ring. The non-metallic bearing is molded to the piston using a special proprietary process.",1,2.5,0,1,0
32906,PS1400-104,Glass Filled PTFE Piston Seals,15% Glass Filled PTFE Seal Rubber Energizer,-40 to +220 F,"0-5,000 PSI","The PS1400 seals offer low friction and high strength in a compact double-acting piston seal design. The PTFE seal ring, combined with rubber energizer, assures positive contact with the dynamic surface. The PS1400 is designed to fit ANSI/B93.32-1973 groove standards.",5.982,6.5,0,0.143,0.005
32960,PS1500-112,Polyurethane Piston Seals,Polyurethane Seal Rubber Energizer,-40 to +200 F,"0-5,000 PSI","Totally interchangeable w/ style PS1400 PTFE piston seals, style PS1500 piston seals are molded from tough 60 Shore D Durometer polyurethane. During the molding process, a .002"" thick band of molybdenum disulfide is molded into the outside diameter of the seal ring for reduced friction. PS1500 piston seals are easily stretched over the piston and recover rapidly with elimination of the ""cold flow"" characteristics found in PTFE seals.",6.482,7,0,0.143,0.007
32984,PS1600-16,Glass Filled PTFE Piston Seals,15% Glass Filled PTFE Seal Rubber Energizer,-40 to +220 F,"0-5,000 PSI","Piston seals are molded from 15% glass filled PTFE W/ rubber energizer. Piston Diameter ""F"" dimensions are given for pistons without wear rings.",0.787,1,0,0.088,0.055
